year,state_county,inctot,mortamt1,sex,age,ftotinc,foodstmp_1,foodstmp_2,foodstmp_All,foodstmp_1_freq,foodstmp_2_freq,sex_1,sex_2,sex_All,sex_2_freq,sex_1_freq,marst_1,marst_2,marst_3,marst_4,marst_5,marst_6,marst_All,marst_5_freq,marst_6_freq,marst_1_freq,marst_4_freq,marst_3_freq,marst_2_freq,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_All,race_1_freq,race_2_freq,race_7_freq,race_8_freq,race_5_freq,race_6_freq,race_3_freq,race_4_freq,race_9_freq,ctz_stat_1,ctz_stat_2,ctz_stat_3,ctz_stat_All,ctz_stat_1_freq,ctz_stat_3_freq,ctz_stat_2_freq,lang_1,lang_2,lang_All,lang_1_freq,lang_2_freq,educ_attain_1.0,educ_attain_2.0,educ_attain_3.0,educ_attain_4.0,educ_attain_All,educ_attain_2.0_freq,educ_attain_1.0_freq,educ_attain_3.0_freq,educ_attain_4.0_freq,empstat_1.0,empstat_2.0,empstat_3.0,empstat_All,empstat_1.0_freq,empstat_3.0_freq,empstat_2.0_freq,state_po,county_name,democrat,green,liberitarian,other,republican,winner
2014,48000,21944.2,597.5,45194,48.2,46909.7,39743,5451,45194,87.9,12.1,22570,22624,45194,50.1,49.9,24753,1502,1067,5464,3824,8584,45194,8.5,19,54.8,12.1,2.4,3.3,38831,3428,275,40,10,313,1549,699,49,45194,85.9,7.6,3.4,1.5,0,0.7,0.6,0.1,0.1,41276,1303,2615,45194,91.3,5.8,2.9,36332,8862,45194,80.4,19.6,23374,19591,2011,218,45194,43.3,51.7,4.4,0.5,22671,1217,21306,45194,50.2,47.1,2.7,,,,,,,,
2014,48027,23597.9,684.8,2263,42.7,48985.5,1982,281,2263,87.6,12.4,1081,1182,2263,52.2,47.8,1218,91,43,303,124,484,2263,5.5,21.4,53.8,13.4,1.9,4,1582,386,22,7,2,93,94,67,10,2263,69.9,17.1,4.2,3,0.1,4.1,1,0.3,0.4,2008,147,108,2263,88.7,4.8,6.5,1774,489,2263,78.4,21.6,891,1190,155,27,2263,52.6,39.4,6.8,1.2,1371,97,795,2263,60.6,35.1,4.3,,,,,,,,
2014,48029,25253.8,772.3,12813,44.5,51095.5,10980,1833,12813,85.7,14.3,6045,6768,12813,52.8,47.2,6270,329,336,1604,808,3466,12813,6.3,27.1,48.9,12.5,2.6,2.6,10350,966,77,48,19,279,764,297,13,12813,80.8,7.5,6,2.3,0.1,2.2,0.6,0.4,0.1,10809,931,1073,12813,84.4,8.4,7.3,7406,5407,12813,57.8,42.2,5207,6341,1152,113,12813,49.5,40.6,9,0.9,7541,484,4788,12813,58.9,37.4,3.8,,,,,,,,
2014,48039,28346.6,802.7,2215,45.5,66742.3,2011,204,2215,90.8,9.2,1132,1083,2215,48.9,51.1,1260,64,47,253,134,457,2215,6,20.6,56.9,11.4,2.1,2.9,1810,225,9,14,0,81,46,26,4,2215,81.7,10.2,2.1,1.2,0,3.7,0.4,0.6,0.2,1956,146,113,2215,88.3,5.1,6.6,1730,485,2215,78.1,21.9,924,1125,145,21,2215,50.8,41.7,6.5,0.9,1273,55,887,2215,57.5,40,2.5,,,,,,,,
2014,48041,21571,769.7,1567,37.6,40473.4,1447,120,1567,92.3,7.7,796,771,1567,49.2,50.8,608,44,28,117,71,699,1567,4.5,44.6,38.8,7.5,1.8,2.8,1213,131,2,34,0,65,80,37,5,1567,77.4,8.4,5.1,2.4,0,4.1,0.1,2.2,0.3,1319,72,176,1567,84.2,11.2,4.6,1226,341,1567,78.2,21.8,464,894,148,61,1567,57.1,29.6,9.4,3.9,887,39,641,1567,56.6,40.9,2.5,,,,,,,,
2014,48061,15776.8,606.8,2791,45.6,36124,2016,775,2791,72.2,27.8,1257,1534,2791,55,45,1378,110,108,277,205,713,2791,7.3,25.5,49.4,9.9,3.9,3.9,2557,22,10,6,0,16,141,38,1,2791,91.6,0.8,5.1,1.4,0,0.6,0.4,0.2,0,1802,376,613,2791,64.6,22,13.5,627,2164,2791,22.5,77.5,1607,1020,148,16,2791,36.5,57.6,5.3,0.6,1375,134,1282,2791,49.3,45.9,4.8,,,,,,,,
2014,48085,41830.7,1023,6275,45.2,82121.7,6078,197,6275,96.9,3.1,3008,3267,6275,52.1,47.9,4206,113,69,615,226,1046,6275,3.6,16.7,67,9.8,1.1,1.8,4773,416,32,204,9,587,137,104,13,6275,76.1,6.6,2.2,1.7,0.1,9.4,0.5,3.3,0.2,4884,772,619,6275,77.8,9.9,12.3,4790,1485,6275,76.3,23.7,1300,3822,1027,126,6275,60.9,20.7,16.4,2,4366,191,1718,6275,69.6,27.4,3,,,,,,,,
2014,48091,31086.2,1076.5,848,49.7,64186,800,48,848,94.3,5.7,409,439,848,51.8,48.2,546,13,15,82,58,134,848,6.8,15.8,64.4,9.7,1.8,1.5,783,19,1,0,1,6,29,9,0,848,92.3,2.2,3.4,1.1,0.1,0.7,0.1,0,0,794,21,33,848,93.6,3.9,2.5,712,136,848,84,16,296,444,92,16,848,52.4,34.9,10.8,1.9,459,17,372,848,54.1,43.9,2,,,,,,,,
2014,48113,29388.4,865.5,17511,44,52786.3,14985,2526,17511,85.6,14.4,8400,9111,17511,52,48,8298,493,509,2164,979,5068,17511,5.6,28.9,47.4,12.4,2.9,2.8,11601,3416,76,148,15,861,1009,358,27,17511,66.2,19.5,5.8,2,0.1,4.9,0.4,0.8,0.2,13030,1482,2999,17511,74.4,17.1,8.5,11432,6079,17511,65.3,34.7,7390,8143,1811,167,17511,46.5,42.2,10.3,1,11055,755,5701,17511,63.1,32.6,4.3,,,,,,,,
2014,48121,36370.1,1024.9,5925,43.6,71833.9,5645,280,5925,95.3,4.7,2863,3062,5925,51.7,48.3,3622,96,62,621,199,1325,5925,3.4,22.4,61.1,10.5,1,1.6,4766,387,30,55,8,396,129,143,11,5925,80.4,6.5,2.2,2.4,0.1,6.7,0.5,0.9,0.2,5030,453,442,5925,84.9,7.5,7.6,4839,1086,5925,81.7,18.3,1505,3616,725,79,5925,61,25.4,12.2,1.3,4148,186,1591,5925,70,26.9,3.1,,,,,,,,
2014,48135,27394.6,638.8,928,43.5,60621.5,829,99,928,89.3,10.7,447,481,928,51.8,48.2,498,26,19,95,70,220,928,7.5,23.7,53.7,10.2,2,2.8,759,41,6,2,0,11,81,25,3,928,81.8,4.4,8.7,2.7,0,1.2,0.6,0.2,0.3,790,70,68,928,85.1,7.3,7.5,566,362,928,61,39,459,425,43,1,928,45.8,49.5,4.6,0.1,583,24,321,928,62.8,34.6,2.6,,,,,,,,
2014,48139,25470.8,754,1254,46.1,54097.5,1146,108,1254,91.4,8.6,588,666,1254,53.1,46.9,788,26,15,141,86,198,1254,6.9,15.8,62.8,11.2,1.2,2.1,1053,91,18,1,0,10,48,32,1,1254,84,7.3,3.8,2.6,0,0.8,1.4,0.1,0.1,1139,40,75,1254,90.8,6,3.2,1058,196,1254,84.4,15.6,563,597,86,8,1254,47.6,44.9,6.9,0.6,761,34,459,1254,60.7,36.6,2.7,,,,,,,,
2014,48141,18280.3,632,5506,44.4,40337.8,4240,1266,5506,77,23,2522,2984,5506,54.2,45.8,2704,182,199,626,360,1435,5506,6.5,26.1,49.1,11.4,3.6,3.3,4595,185,63,16,8,77,463,90,9,5506,83.5,3.4,8.4,1.6,0.1,1.4,1.1,0.3,0.2,3611,902,993,5506,65.6,18,16.4,1525,3981,5506,27.7,72.3,2708,2455,319,24,5506,44.6,49.2,5.8,0.4,2983,259,2264,5506,54.2,41.1,4.7,,,,,,,,
2014,48157,39297.3,987,3495,45.3,85751.9,3223,272,3495,92.2,7.8,1673,1822,3495,52.1,47.9,2210,77,78,313,150,667,3495,4.3,19.1,63.2,9,2.2,2.2,1948,636,10,170,2,519,146,59,5,3495,55.7,18.2,4.2,1.7,0.1,14.8,0.3,4.9,0.1,2379,686,430,3495,68.1,12.3,19.6,2167,1328,3495,62,38,1046,1895,482,72,3495,54.2,29.9,13.8,2.1,2225,101,1169,3495,63.7,33.4,2.9,,,,,,,,
